Dance,Song Title,Artist/Group
WCS,Black Coffee And Cigarettes,Mighty Mo Rodgers
WCS,Blue Boy,John Fogerty
WCS,Body Like a Back Road,Sam Hunt
WCS,Born On the Bayou,John Fogerty with Kid Rock
WCS,Business Of Love,Lelia Broussard
WCS,Buzzin',Blake Shelton Feat RaeLynn
WCS,Can't Stop the Feeling! (Country Version),Drew Jacobs
WCS,Cause I Love You,Mike Morgan & The Crawl
WCS,Chain Of Fools,Fantasia
WCS,Change The World,Hanne Boel
WCS,Come Here You,Carlene Carter
WCS,Cow Cow Boogie (low volume),The Judds
WCS,Cowboy Up,Vince Gill
WCS,Cutting The Breeze,Joss Stone
WCS,Dark Side of Love,Calvin Richardson
WCS,Dirt Rich,Brothers Osborne
WCS,Dirty Laundry,Don Henley
WCS,Dirty Low Down & Bad,Keb' Mo
WCS,Don't Threaten Me with a Good Time,Thomas Rhett Feat Little Big Town
WCS,Down Home Woman,Kirk Fletcher
WCS,Down In The Valley,Michael Grimm
WCS,Eat At Joes,Suzy Bogguss
WCS,Fast Company,Eagles
WCS,Fever,Ruby Wilson
WCS,Fire,Tessanne Chin
WCS,Fireworks,Ronnie Milsap
WCS,Fix (Acoustic),Chris Lane
WCS,Float Your Boat,Ryan Follese
WCS,Free,Faith Hill
WCS,Fresh Coat Of Paint,Lee Roy Parnell
WCS,Friday Night Bleu,Chris Thomas King
WCS,Gemini,Keith Urban
WCS,Good Ole Days,Shannon Brown
WCS,Groove Me,Angie Stone
WCS,Groove Me,Etta James
WCS,Hammer,Janiva Magness Feat Charlie Musselwhite
WCS,Head Over Boots,Jon Pardi
WCS,Home USA,Fats Domino
WCS,Honky Tonk Badonkakonk,Trace Adkins
WCS,Honky Tonk Woman,Travis Tritt
WCS,Honky Tonk Women,Travis Tritt
WCS,How Can I Be Down,Mycle Wastman
WCS,I Ain't Your Mama,Maggie Rose
WCS,I Am What I Am,Tommy Castro
WCS,I Feel Good,Thomas Rhett Feat LunchMoney Lewis
WCS,I Hear You Knocking,Wynonna Judd
WCS,I Heard It Through The Grapevine,Michael McDonald
WCS,I Sing the Blues (Down and Dirty),Habaka
WCS,I'm On Your Side,Keb' Mo
WCS,I'm On Your Side,Peach
WCS,I'm So Miserable,Billy Ray Cyrus
WCS,If I Don't Dance,Kelley Hunt
WCS,If I Had No Loot,Sam Moore
WCS,It's Alright,Seal
WCS,Just Another Thing,Maren Morris
WCS,Just Got Started Loving You,Queen Emily
WCS,Keep Doin' What You're Doin',Billy Gibson
WCS,Kiddeo,Bernard Allison
WCS,Kiss,Chris Thomas King
WCS,Let The Good Times Roll,Bobby Womack
WCS,Let's Work Together,Dwight Yoakam
WCS,Lie to Me,Jonny Lang
WCS,Love Is Love Is Love,LeAnn Rimes
WCS,Love Letter,Bonnie Raitt
WCS,Love Thing,Johnny Reid
WCS,Love Yourself,Dylan Scott
WCS,Lover Lover,Jerrod Niemann
WCS,Low Down Dirty Dawg,Barbara Blue
WCS,Melody Cool,Mavis Staples & Prince
WCS,Memphis Women And Chicken,Zac Hacker
WCS,"Memphis, Women & Chicken",Zac Hacker
WCS,Mimosas,Parmalee
WCS,Move,Keb' Mo'
WCS,My Baby Just Cares For Me,Johnny Ferreira & The Swing Machine
WCS,My Give a Damn's Busted,Michelle Wright
WCS,My Kind Of Crazy,Brooks & Dunn
WCS,Natural Man,Lou Rawls
WCS,Never Been to Spain,The No Refund Band
WCS,Next Time I See You,Jim Byrnes
WCS,Nobody But Me,Blue Harlem
WCS,One Drop Of Love,Ray Charles
WCS,Over & Done,Ryan Shaw
WCS,Party Girl,Craig Morgan
WCS,"Party, Party, Party",Uvee Hayes
WCS,Play That Country Music Cowboy,Chuck Wagon And The Wheels
WCS,Pontoon,Little Big Town
WCS,Put Your Hands,Trin-I-Tee 5:7
WCS,Real Man,Bonnie Raitt
WCS,Red Camaro,Keith Urban
WCS,Red Neck Rock N Roll,Pirates Of The Mississippi
WCS,Relax,Elvis Presley
WCS,Rita,Keb' Mo
WCS,Round and Round,Kenny Chesney
WCS,Save Me San Francisco,Train
WCS,Selfish,Jordan Davis
WCS,Sexy Playa Face,Danny Maika
WCS,Shakey Ground,Rebecca Lynn Howard
WCS,She Dat Pretty,Steven Segal
WCS,Show Me What You're Workin' With,Toby Keith
WCS,"Signed, Sealed Delivered",Jackson Breit
WCS,Singles You Up,Jordan Davis
WCS,Slow Roll,Everette
WCS,Snap Your Fingers,Ronnie Milsap
WCS,Something To Talk About (The Voice Performance),E.G. Daily
WCS,Song About a Girl,Eric Paslay
WCS,Soon As I Get Paid,Keb' Mo'
WCS,Steam,Ty Herndon
WCS,Stomp,Jared Blake
WCS,Stuff Like That,Quincy Jones
WCS,Sugar,Sammy Kershaw
WCS,Sun Don't Let Me Down,Keith Urban Feat Nile Rodgers & Pitbull
WCS,Sunshine & Whiskey,Frankie Ballard
WCS,Sweet Music,Guitar Jack
WCS,Sweet Rowena,Joe Bonamassa Feat Vince Gill
WCS,Take It Back,Reba McEntire
WCS,Take It From Me,Jordan Davis
WCS,Talk To Me,Kelley Hunt
WCS,That Man Is Me,Johnny Reid
WCS,That's Alright,Keb' Mo'
WCS,That's How Country Boys Roll,Billy Currington
WCS,The Little Prince,Bryan Lee
WCS,The Same Love That Made Me Laugh,Queen Latifah
WCS,Time,Mike Morgan & The Crawl
WCS,Top Side,The No Refund Band
WCS,Touch,Ray Charles with John Legend
WCS,Try Matty's,Aretha Franklin
WCS,Tulsa Time,Bransen Ireland
WCS,Turn Me Loose,Dion
WCS,Wade In The Water,Kathy Mattea
WCS,Waiting on You,Lindsay Ell
WCS,Walk All The Way Home,Kelley Hunt
WCS,Wasted Time,Keith Urban
WCS,We Tote The Note,T. Graham Brown
WCS,Where Did My Baby Go?,"Kenny ""Blues Boss"" Wayne"
WCS,Why Haven't I Heard From You,Reba McEntire
WCS,Wild Turkey 101 Proof,Kenny 'Blues Boss' Wayne
WCS,Won't Be Lonely Long,LeAnn Rimes
WCS,You Better Think Twice,Vince Gill
WCS,You Don't Love Me,Downchild Feat Colin Linden & Dan Aykroyd
WCS,You Got Me Hummin',Michael Grimm Feat Bill Medley
WCS,You're No Good,Lulu
WTZ,'Merica,Kenny Rogers
WTZ,A Natural Woman,Carole King
WTZ,A Woman Like You,Steven Craig Harding
WTZ,All In My Heart,John Michael Montgomery
WTZ,Amazing Grace,Lari White
WTZ,Beautiful Day For Goodbye,George Strait
WTZ,Better Than You Left Me,Mickey Guyton
WTZ,Blue Eyes,Scooter Lee
WTZ,Bluebird,Sara Bareilles
WTZ,Bramble Rose,Don Henley Feat Mick Jagger & Miranda Lambert
WTZ,Can't Take My Eyes Off You,Lady Antebellum
WTZ,Celebrate Me Home,Kenny Loggins
WTZ,Celebrate Me Home,Lady Antebellum
WTZ,Color Love Blue,Lucy Angel
WTZ,Come Away With Me,Norah Jones
WTZ,Completely,Neal McCoy
WTZ,Crawl Across Kansas,Kelley Hunt
WTZ,Dark Turn of Mind,Gillian Welch
WTZ,Desperados Like Me,Tim Ryan
WTZ,Do It Wrong with Me,LeAnn Rimes
WTZ,Don't Let Your Feet Slow You Down,Rodney Crowell
WTZ,Dreaming My Dreams With You,Alison Krauss
WTZ,Dreaming My Dreams With You,Collin Raye
WTZ,Frame of Mine,Blake Shelton
WTZ,Freebird,Joey + Rory
WTZ,Good Time To Cry,Jennifer Nettles
WTZ,Grace and Gratitude,Olivia Newton-John
WTZ,Husbands and Wives,Raul Malo
WTZ,I Don't Want This Song To End,John Michael Montgomery
WTZ,I Hear the Mountains,Balsam Range
WTZ,I Just Love You,Tim McGraw
WTZ,I Wish I Had Someone To Love Me,Patrick Feeney
WTZ,I'll Never Pass This Way Again,Tracy Lawrence
WTZ,I'll Still Be Waiting For You,Kim McAbee
WTZ,I'm Movin' On,Rascal Flatts
WTZ,I'm So Lonesome I Could Cry,Lynda Carter
WTZ,I'm So Lonesome I Could Cry,Wynonna Judd
WTZ,If I Knew Then,Lady Antebellum
WTZ,If I Were A Painting,Kenny Rogers
WTZ,If You Don't Know Me By Now,Martina McBride
WTZ,Keeps Me Alive,Wynonna & The Big Noise & Derek Trucks
WTZ,Lay Down Beside Me,Alison Krauss With John Waite
WTZ,Let's Just Let Go,James Otto
WTZ,Letting You Go,Sara Evans
WTZ,Love Has No Pride,Michelle Wright
WTZ,Love Like a Hurricane,Kasey Chambers Feat Kevin Bennett
WTZ,Nobody There But Me,Bruce Hornsby
WTZ,On My Way,Nashville Cast Feat Hayden Panettiere & Jonathan Jackson
WTZ,On My Way,Nashville Cast Feat Hayden Panettiere & Jonathan Jackson)
WTZ,Once In A While,Rodney Crowell
WTZ,Pennies On the Floor,The Little Willies
WTZ,Rainbow Connection,Charla Corn
WTZ,Reach,Meredith Edwards
WTZ,Right Where I Want You,Alan Jackson
WTZ,Run For The Roses,Dan Fogelberg
WTZ,Sandy's Song,Dolly Parton
WTZ,Saving Grace,Shawn King
WTZ,See The Day,Girls Aloud
WTZ,Slow Dance,Michael Peterson
WTZ,Some Peoples Lives,Malibu Storm
WTZ,Somebody Else's Moon,Collin Raye
WTZ,Somewhere Between Now and Forever,Ron Williams
WTZ,Surrender,Jane Monheit
WTZ,Sweet Memories,Jason Cassidy
WTZ,Take It To The Limit,Suzy Bogguss
WTZ,Tattoos Of Life,Steve Wariner
WTZ,The Flower That Shattered the Stone,Olivia Newton-John
WTZ,The Flower That Shattered The Stone,Steve Wariner
WTZ,The Gypsy In Me,Gretchen Wilson
WTZ,The Long Day Is Over,Norah Jones
WTZ,The Luckiest Guy In The World,Vince Gill
WTZ,The Moon Is Still Over Her Shoulder,Michael Johnson
WTZ,The Power of Now,Olivia Newton-John
WTZ,The Rivers Between Us,Nashville Cast Feat Connie Britton & Charles Esten
WTZ,The Tips Of My Fingers,Steve Wariner
WTZ,The Woman In My Life,Phil Vassar
WTZ,Their Hearts Are Dancing,Forester Sisters
WTZ,These Days,Vince Gill
WTZ,This Time Last Year,Ronnie Milsap
WTZ,This Woman Needs,She Daisy
WTZ,To Be Loved By You,Josh Turner
WTZ,Together Forever Always,LeAnn Rimes
WTZ,Tomorrow Is Forever,Dolly Parton
WTZ,True Love,Vince Gill Feat Amy Grant
WTZ,Up On the Roof,Lynda Carter
WTZ,Waiting,Lea Sweet
WTZ,When I Found You,Jasmine Rae
WTZ,When I Said I Do,Clint Black
WTZ,When the Smoke Clears,Due West
WTZ,Which Bridge to Cross (Which Bridge to Burn),Vince Gill
WTZ,You Light Up My Life,LeAnn Rimes
WTZ,You're the One,Flatt Lonesome
