Dance,Song Title,Artist/Group
CHA,Did It for the Girl,Greg Bates
CHA,Down In Mexico,Jerrod Niemann
CHA,Dream Walkin',Toby Keith
CHA,Drinkin' Bone,Tracy Byrd
CHA,Drinkin' Problem,Midland
CHA,Drinks After Work,Toby Keith
CHA,Drunk On Love,Brooks N Dunn
CHA,Eat Sleep Love U Repeat,Rodney Atkins
CHA,El Camino,Bigfoot
CHA,Everybody's Here,Brad Paisley
CHA,Everything I Shouldn't Be Thinking About,Thompson Square
CHA,Find Me,Mike Aiken
CHA,From A Table Away,Sunny Sweeney
CHA,Givin' Up Givin' a Damn,Terri Clark
CHA,Go On,George Strait
CHA,Goin' Goin' Gone,George Strait
CHA,Good To Be Me,Uncle Kracker Feat Kid Rock
CHA,Half Of My Mistakes,Gary Allan
CHA,Hard To Love,Lee Brice
CHA,Honey Bee,Blake Shelton
CHA,Horse to Mexico,Trini Triggs
CHA,How Dare You,Sarah Darling
CHA,I Am The Midnight,Granger Smith
CHA,I Can Take It From There,Chris Young
CHA,I Can't Forget Her,Clay Walker
CHA,I Can't Forget Her,Dierks Bentley
CHA,I Can't Take You Anywhere,Scotty Emerick
CHA,I Got Mexico,Craig Moritz & Curtis Grambo
CHA,I Have Been Lonely,Blake Shelton
CHA,I Hope You Want Me Too,Mavericks
CHA,I Love You,Martina McBride
CHA,I Love You,Martine McBride
CHA,I See You,Raul Malo
CHA,I Shall Return,Billy Currington
CHA,I Wanna Fall In Love,Lila McCann
CHA,I Wanna Thank You,Darius Rucker
CHA,I'll Probably Be Out Fishin',Toby Keith
CHA,I'm All About It,Bradley Gaskin
CHA,I'm Doing Alright,Jacob Lyda
CHA,I'm in Love With You,Ty Herndon
CHA,I've Been In Mexico,Blaine Larsen
CHA,It Ain't No Crime,Joe Nichols
CHA,It's Your World Now,Eagles
CHA,Just For You,Lionel Richie Feat Billy Currington
CHA,Just Keep Falling In Love,Jake Worthington
CHA,Kiss Tomorrow Goodbye,Luke Bryan
CHA,Last Good Time In Town,Eagles
CHA,Lay Low,Blake Shelton
CHA,Let Me Be The One,Liz Carlisle
CHA,Lincoln Continentals & Cadillacs Explicit *),Tim McGraw Duet With Kid Rock
CHA,"Little Bit Of This, Little Bit Of That",Carolyn Dawn Johnson
CHA,Little Miss Tear Stain,Toby Keith
CHA,Little Too Late,Zane Williams
CHA,Living and Living Well,George Strait
CHA,Long Wet Kiss,Tracy Lawrence
CHA,Look At You,Seth Ennis
CHA,Love Drunk,Steve Moakler
CHA,Love What You've Done With the Place,Rascal Flatts
CHA,Love Will Find a Way,Shawn Mullins
CHA,Love's Gonna Make It Alright,George Strait
CHA,Man To Man,Gary Allan
CHA,Mexicoma,Bucky Covington
CHA,My Heart Is Open,Keith Urban
CHA,Naive,Jamie O'Neal
CHA,Neon Blues,Randy Rogers Band
CHA,No Bad Days,Ray Johnston Band
CHA,On a Roll,Sugarland
CHA,Only Got So Much Time,Bucky Covington
CHA,Oye Como Va,Los Lonely Boys
CHA,Ready to Roll,Blake Shelton
CHA,Right Where You Left Me,Terri Clark
CHA,Roll With It,Corbin Easton
CHA,Roller Coaster,Luke Bryan
CHA,Sangria,Blake Shelton
CHA,Saturday Afternoon,Chuck Wicks
CHA,She Wants a Cowboy,Dustin Lynch
CHA,Since You Brought It Up,James Otto
CHA,Singing Me Home,Lady Antebellum
CHA,Sleepin' Around,Austin Burke
CHA,Slip Away,Scooter Lee
CHA,Smooth (The Voice Performance),Josh Gallagher & Adam Levine
CHA,So What If I Do,Trace Adkins
CHA,Somebody's Mama,Joe Nichols
CHA,Somewhere With You,Kenny Chesney
CHA,South Of Santa Fe,Brooks & Dunn
CHA,Southern Girl,Tim McGraw
CHA,Staying With Me,Los Lonely Boys
CHA,Stealin',Hali Hicks
CHA,Stranger In My House,Zac Hacker
CHA,Sunny In Seattle,Blake Shelton
CHA,Ten Times Crazier,Blake Shelton
CHA,Texas Time,Keith Urban
CHA,The One That Got Away,Terri Clark Feat Drake White
CHA,This Pretender,Joe Diffie
CHA,Turnin' Me On,Blake Shelton
CHA,Walking On A Cloud,Mollie Castle
CHA,What's Up With That,Scotty Emerick
CHA,When I Get It,Craig Campbell
CHA,When The Sun Goes Down,Kenny Chesney & Uncle Kracker
